Course,Instructor,Room,Major,ClassType,WeeklyHours
CSC201,IM,G01,Joint,Theory,4
MAC201,AL,G02,Joint,Theory,4
CSC211,IM,201/202/207,Joint,Lab,3
ECC211,RS,203/206,Joint,Lab,3
ECC201,RS,G01,Joint,Theory,4
PHC201,PKR,G01,Joint,Theory,3
HUC201,PK,G02,Joint,Theory,3

