Course,Instructor,Room,Major,ClassType,WeeklyHours
CSC864,PC,G01,CSE,Theory,4
CSC858,SHI,302,CSE,Theory,4
CSC837,SCH,G01,CSE,Theory,4
CSC886,BB,302,CSE,Theory,4

