Course,Instructor,Room,Major,ClassType,WeeklyHours
MAC401,SUM,302,CSE,Theory,4
CSC401,SHI,302,CSE,Theory,4
CSC402,SP,302,CSE,Theory,4
CSC403,BB,302,CSE,Theory,4
CSC413,BB,201/202/207,CSE,Lab,3
CSC412,SUM,201/202/207,CSE,Lab,3
CSC411,SHI,201/202/207,CSE,Lab,3
HUC404,JG,302,Joint,Theory,3
ECC404,DB,305,ECE,Theory,4
ECC401,BK,305,ECE,Theory,4
ECC403,ARA,305,ECE,Theory,4
ECC402,DN,305,ECE,Theory,4
ECC412,ARA,203,ECE,Lab,3
ECC411,BK,203,ECE,Lab,3
